Year,Value,Units,Series
2010,19663.084,eur per capita,household disposable income per capita
2011,20281.719,eur per capita,household disposable income per capita
2012,20682.553,eur per capita,household disposable income per capita
2013,20911.783,eur per capita,household disposable income per capita
2014,21420.157,eur per capita,household disposable income per capita
2015,21912.423,eur per capita,household disposable income per capita
2016,22423.394,eur per capita,household disposable income per capita
2017,23161.108,eur per capita,household disposable income per capita
2018,24058.887,eur per capita,household disposable income per capita
2019,24634.551,eur per capita,household disposable income per capita
2020,24685.581,eur per capita,household disposable income per capita
2021,25465.406,eur per capita,household disposable income per capita
2013,12.4,percentage,time spent on unpaid domestic and care work
2022,12.6,percentage,time spent on unpaid domestic and care work
2013,3.0,houres per day,time spent on unpaid domestic and care work
2022,3.0,houres per day,time spent on unpaid domestic and care work
