Year,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,,,,,,20.0
2016,,,,,,19.8
2017,,,,,,18.8
2018,,,,,,18.5
2019,,,,,,17.3
2020,,,|,,,20.4
2021,,,,,,21.0
2022,,,,,,21.1
2023,,,,,,21.3
2024,,,,,,21.1
2025,,,,,,21.2
2015,Weiblich,,,,,21.3
2016,Weiblich,,,,,21.3
2017,Weiblich,,,,,20.1
2018,Weiblich,,,,,19.6
2019,Weiblich,,,,,18.4
2020,Weiblich,,|,,,21.2
2021,Weiblich,,,,,21.7
2022,Weiblich,,,,,21.9
2023,Weiblich,,,,,22.1
2024,Weiblich,,,,,21.9
2025,Weiblich,,,,,21.9
2015,Männlich,,,,,18.6
2016,Männlich,,,,,18.3
2017,Männlich,,,,,17.4
2018,Männlich,,,,,17.4
2019,Männlich,,,,,16.1
2020,Männlich,,|,,,19.5
2021,Männlich,,,,,20.2
2022,Männlich,,,,,20.3
2023,Männlich,,,,,20.5
2024,Männlich,,,,,20.2
2025,Männlich,,,,,20.5
2015,,18 Jahre und jünger,,,,19.3
2016,,18 Jahre und jünger,,,,20.6
2017,,18 Jahre und jünger,,,,18.6
2018,,18 Jahre und jünger,,,,17.5
2019,,18 Jahre und jünger,,,,15.4
2020,,18 Jahre und jünger,|,,,22.3
2021,,18 Jahre und jünger,,,,23.7
2022,,18 Jahre und jünger,,,,24.4
2023,,18 Jahre und jünger,,,,23.9
2024,,18 Jahre und jünger,,,,22.9
2025,,18 Jahre und jünger,,,,23.5
2015,Weiblich,18 Jahre und jünger,,,,19.3
2016,Weiblich,18 Jahre und jünger,,,,22.0
2017,Weiblich,18 Jahre und jünger,,,,19.5
2018,Weiblich,18 Jahre und jünger,,,,17.3
2019,Weiblich,18 Jahre und jünger,,,,16.1
2020,Weiblich,18 Jahre und jünger,|,,,22.8
2021,Weiblich,18 Jahre und jünger,,,,23.4
2022,Weiblich,18 Jahre und jünger,,,,23.9
2023,Weiblich,18 Jahre und jünger,,,,23.5
2024,Weiblich,18 Jahre und jünger,,,,22.7
2025,Weiblich,18 Jahre und jünger,,,,23.0
2015,Männlich,18 Jahre und jünger,,,,19.3
2016,Männlich,18 Jahre und jünger,,,,19.6
2017,Männlich,18 Jahre und jünger,,,,17.8
2018,Männlich,18 Jahre und jünger,,,,17.6
2019,Männlich,18 Jahre und jünger,,,,14.8
2020,Männlich,18 Jahre und jünger,|,,,21.9
2021,Männlich,18 Jahre und jünger,,,,23.9
2022,Männlich,18 Jahre und jünger,,,,24.9
2023,Männlich,18 Jahre und jünger,,,,24.3
2024,Männlich,18 Jahre und jünger,,,,23.1
2025,Männlich,18 Jahre und jünger,,,,23.9
2015,,18 bis unter 65 Jahre,,,,21.1
2016,,18 bis unter 65 Jahre,,,,20.1
2017,,18 bis unter 65 Jahre,,,,19.2
2018,,18 bis unter 65 Jahre,,,,18.7
2019,,18 bis unter 65 Jahre,,,,17.3
2020,,18 bis unter 65 Jahre,|,,,19.6
2021,,18 bis unter 65 Jahre,,,,20.3
2022,,18 bis unter 65 Jahre,,,,20.6
2023,,18 bis unter 65 Jahre,,,,20.8
2024,,18 bis unter 65 Jahre,,,,20.5
2025,,18 bis unter 65 Jahre,,,,20.6
2015,Weiblich,18 bis unter 65 Jahre,,,,22.4
2016,Weiblich,18 bis unter 65 Jahre,,,,21.3
2017,Weiblich,18 bis unter 65 Jahre,,,,20.4
2018,Weiblich,18 bis unter 65 Jahre,,,,19.8
2019,Weiblich,18 bis unter 65 Jahre,,,,18.2
2020,Weiblich,18 bis unter 65 Jahre,|,,,20.3
2021,Weiblich,18 bis unter 65 Jahre,,,,21.1
2022,Weiblich,18 bis unter 65 Jahre,,,,21.3
2023,Weiblich,18 bis unter 65 Jahre,,,,21.4
2024,Weiblich,18 bis unter 65 Jahre,,,,21.2
2025,Weiblich,18 bis unter 65 Jahre,,,,21.2
2015,Männlich,18 bis unter 65 Jahre,,,,19.6
2016,Männlich,18 bis unter 65 Jahre,,,,18.7
2017,Männlich,18 bis unter 65 Jahre,,,,18.0
2018,Männlich,18 bis unter 65 Jahre,,,,17.4
2019,Männlich,18 bis unter 65 Jahre,,,,16.2
2020,Männlich,18 bis unter 65 Jahre,|,,,19.0
2021,Männlich,18 bis unter 65 Jahre,,,,19.6
2022,Männlich,18 bis unter 65 Jahre,,,,19.9
2023,Männlich,18 bis unter 65 Jahre,,,,20.2
2024,Männlich,18 bis unter 65 Jahre,,,,19.8
2025,Männlich,18 bis unter 65 Jahre,,,,20.0
2015,,65 Jahre und älter,,,,17.1
2016,,65 Jahre und älter,,,,18.3
2017,,65 Jahre und älter,,,,17.6
2018,,65 Jahre und älter,,,,18.9
2019,,65 Jahre und älter,,,,18.8
