Year,Geschlecht,Altersklasse,Region,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,,,,,,,1.86
2017,,,,,,,1.99
2021,,,,,,,2.32
2013,Weiblich,,,,,,2.26
2017,Weiblich,,,,,,2.39
2021,Weiblich,,,,,,2.72
2013,Männlich,,,,,,1.43
2017,Männlich,,,,,,1.58
2021,Männlich,,,,,,1.89
2013,,,Alte Bundesländer,,,,1.74
2017,,,Alte Bundesländer,,,,1.91
2021,,,Alte Bundesländer,,,,2.17
2013,,,Neue Bundesländer,,,,2.35
2017,,,Neue Bundesländer,,,,2.39
2021,,,Neue Bundesländer,,,,3.01
2013,,18 to under 31 years,,,,,1.62
2017,,18 to under 31 years,,,,,1.89
2021,,18 to under 31 years,,,,,2.93
2013,,31 to under 46 years,,,,,2.74
2017,,31 to under 46 years,,,,,3.2
2021,,31 to under 46 years,,,,,1.62
2013,,46 to under 61 years,,,,,1.04
2017,,46 to under 61 years,,,,,2.06
2021,,46 to under 61 years,,,,,2.4
2013,,61 to under 76 years,,,,,2.41
2017,,61 to under 76 years,,,,,1.92
2021,,61 to under 76 years,,,,,2.28
2013,,over 76 years,,,,,1.54
2017,,over 76 years,,,,,1.47
2021,,over 76 years,,,,,1.7
