Year,Series,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2011,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2012,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2013,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2014,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2015,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,,,,13.0
2016,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2017,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,,,,10.0
2018,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2019,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,,,,9.0
2020,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2021,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,,,,8.0
2022,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,.,,,
2023,"Bevölkerung, die sich im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat",Prozent,,,,11.0
2010,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2011,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2012,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2013,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2014,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2015,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2016,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2017,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,.,,,
2018,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,3331.0
2019,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,3259.0
2020,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,3578.0
2021,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,3817.0
2022,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,4227.0
2023,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,r,,,4521.0
2024,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,,,,4994.0
2025,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Anzahl,,,,5694.0
2010,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2011,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2012,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2013,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2014,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2015,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2016,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
2017,"Frauen und Mädchen, die sexueller Gewalt durch Intimpartner/-innen ausgesetzt waren",Je 100 000 Einwohnerinnen,.,,,
