Year,Value,Units,Series
2013,6.3,,NEET rates from young people (15 to under 25 years)
2014,6.4,,NEET rates from young people (15 to under 25 years)
2015,6.2,,NEET rates from young people (15 to under 25 years)
2016,6.7,,NEET rates from young people (15 to under 25 years)
2017,6.3,,NEET rates from young people (15 to under 25 years)
2018,5.9,,NEET rates from young people (15 to under 25 years)
2019,5.7,,NEET rates from young people (15 to under 25 years)
2022,6.9,,NEET rates from young people (15 to under 25 years)
2023,7.5,,NEET rates from young people (15 to under 25 years)
2025,8.2,,NEET rates from young people (15 to under 25 years)
