Year,Units,Feinstaubkonzentration,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,19.5
2011,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,19.4
2012,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,16.8
2013,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,17.5
2014,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,17.0
2015,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.8
2016,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.3
2017,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,14.4
2018,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.4
2019,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.2
2020,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,12.3
2021,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.0
2022,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.2
2023,Mikrogramm pro m³,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,11.3
2010,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.9
2011,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.2
2012,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,12.4
2013,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.2
2014,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.0
2015,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,11.7
2016,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,11.4
2017,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,10.9
2018,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,11.2
2019,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,9.4
2020,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,8.8
2021,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,9.3
2022,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,8.6
2023,Mikrogramm pro m³,"PM₂,₅",,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,7.3
