Year,Value,Units,Series,GeoCode
2010,930.2,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2011,906.7,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2012,917.0,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2013,934.0,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2014,893.5,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2015,901.8,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2016,897.3,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2017,882.2,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2018,852.9,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2019,798.0,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2020,733.0,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2021,761.4,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2022,748.8,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2023,672.0,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
2024,649.1,Millionen Tonnen CO₂-Äquivalente,Treibhausgasemissionen insgesamt,
