Indicator,Disaggregations,Number of disaggregations
#1-3,land,1
#1-3-1,land,1
#2-1,"sex, age group, type of unpaid work, degree of urbanisation",4
#2-1-3,"sex, age group, type of unpaid work, degree of urbanisation",4
#2-3,"educational level, subject",2
#2-3-1,"educational level, subject",2
#2-3-2,"age group, type of ict skill",2
#2-4,"sex, age group, degree of feelings of insecurity, typ of victim-suspect relationship",4
#2-4-1,"sex, age group, typ of victim-suspect relationship",3
#2-4-2,"sex, age group, degree of feelings of insecurity",3
#2-8-1,level of fine particulate matter,1
#3-2-1,income considered,1
#3-3-1,"sex, age group",2
#3-4-1,"sex, länder",2
#4-2-1,sex,1
